Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2024-10-31,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-30,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-29,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-28,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-27,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-26,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-25,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-24,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-23,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-22,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-21,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-20,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-19,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-18,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-17,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-16,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-15,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-14,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-13,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-12,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-11,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-10,14.5,17,39,8,3.4,8.9,1.2,1.5,14.83
2024-10-09,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-08,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-07,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-06,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-05,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-04,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-03,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-02,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-10-01,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-30,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-29,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-28,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-27,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-26,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-25,14.5,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-24,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-23,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-22,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-21,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-20,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-19,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-18,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-17,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-16,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-15,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-14,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-13,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-12,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-11,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-10,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-09,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-08,15,17,39,8,3.4,8.9,1.4,1.5,14.83
2024-09-07,15,17,39,8,3.4,8.9,1.4,1.5,14.83
